Player,Country,% Team Runs,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,Avg,Ca,St,Series_Code, H/A, Decade_Index ,Matches
Shahadat Hossain,Bangladesh,1.90%,3,2,1,0,0,1,6*,6,40.00,6.00,1,0,0693,Away,63
Alok Kapali,Bangladesh,4.43%,3,3,0,0,0,1,12,14,48.28,4.67,1,0,0693,Away,63
Mohammad Ashraful,Bangladesh,3.48%,3,3,0,0,0,0,5,11,34.38,3.67,0,0,0693,Away,63
Mahmudullah,Bangladesh,0.32%,1,1,0,0,0,0,1,1,16.67,1.00,0,0,0693,Away,63
Mehrab Hossain,Bangladesh,0.32%,2,2,0,0,0,1,1,1,5.56,0.50,1,0,0693,Away,63
Johnson M G,Australia,,3,1,0,0,0,1,0*,0,0.00,0.00,0,0,0693,Home,63
Farhad Reza,Bangladesh,,1,1,0,0,0,1,0*,0,0.00,0.00,0,0,0693,Away,63
Nazmul Hossain,Bangladesh,,2,2,0,0,0,2,0*,0,0.00,0.00,0,0,0693,Away,63
Bracken N W,Australia,,3,0,0,0,0,0,-,0,-,-,0,0,0693,Home,63
Clark S R,Australia,,3,0,0,0,0,0,-,0,-,-,2,0,0693,Home,63
Geeves B,Australia,,1,1,1,0,0,0,0*,0,-,-,1,0,0693,Home,63
Watson S R,Australia,34.07%,3,3,1,1,1,0,185*,294,175.00,147.00,5,0,0780,Away,73
Mahmudullah,Bangladesh,18.26%,3,3,2,1,0,0,68*,134,93.71,134.00,3,0,0780,Home,73
Mushfiqur Rahim,Bangladesh,17.17%,3,3,2,1,0,0,81*,126,88.73,126.00,0,0,0780,Home,73
Clarke M J,Australia,17.15%,3,2,0,0,1,0,101,148,85.55,74.00,0,0,0780,Away,73
Hussey M E K,Australia,16.34%,3,2,0,0,1,0,108,141,99.30,70.50,0,0,0780,Away,73
Johnson M G,Australia,7.76%,3,2,1,0,0,0,41,67,181.08,67.00,0,0,0780,Away,73
Ponting R T,Australia,13.67%,3,3,1,0,0,0,47,118,95.93,59.00,0,0,0780,Away,73
Shahriar Nafees,Bangladesh,15.80%,3,3,0,2,0,1,60,116,72.50,38.67,0,0,0780,Home,73
